asin,title,brand,current_price,list_price,rating,review_count,category,fetch_time,data_source,previous_price,price_drop_pct,deal_type
B09B8X9ZGH,Echo Dot (5th Gen),Amazon,49.99,54.99,4.7,124000,Electronics,2026-05-17T17:14:40.491306+00:00,seed (real product catalog - replace with Keepa API),62.225719428756484,19.7,Coupon
B0C6JW4BHX,Apple AirTag 4-Pack,Apple,78.99,99.0,4.8,152000,Electronics,2026-05-17T17:14:40.491306+00:00,seed (real product catalog - replace with Keepa API),94.10540846595539,16.1,Best Deal
B0CHX1W1XY,Apple AirPods Pro 2,Apple,189.99,249.0,4.7,284000,Electronics,2026-05-17T17:14:40.491306+00:00,seed (real product catalog - replace with Keepa API),223.05335505217025,14.8,Best Deal
B0D7Q7GDKP,Apple Watch SE (2nd Gen),Apple,189.0,249.0,4.7,67000,Electronics,2026-05-17T17:14:40.491306+00:00,seed (real product catalog - replace with Keepa API),247.8627573369656,23.7,Best Deal
B0DKLHHMZ5,iPhone 16,Apple,799.0,799.0,4.6,18000,Electronics,2026-05-17T17:14:40.491306+00:00,seed (real product catalog - replace with Keepa API),1076.736651255318,25.8,Coupon
B0CWV3J9RV,Samsung Galaxy S24,Samsung,699.99,799.99,4.5,34000,Electronics,2026-05-17T17:14:40.491306+00:00,seed (real product catalog - replace with Keepa API),940.9926135763,25.6,Lightning Deal
B0CVQ2MH8H,Sony WH-1000XM5,Sony,299.99,399.99,4.5,45000,Electronics,2026-05-17T17:14:40.491306+00:00,seed (real product catalog - replace with Keepa API),366.19273818363797,18.1,Lightning Deal
B0CX5JV4DH,Bose QuietComfort Ultra,Bose,299.0,429.0,4.4,21000,Electronics,2026-05-17T17:14:40.491306+00:00,seed (real product catalog - replace with Keepa API),397.72806124949426,24.8,Coupon
B0BQJ6CYNJ,Anker 737 Power Bank 24K,Anker,109.99,149.99,4.6,18000,Electronics,2026-05-17T17:14:40.491306+00:00,seed (real product catalog - replace with Keepa API),137.36037348552279,19.9,Coupon
B0CZPML9KY,Ninja Creami Deluxe,Ninja,249.99,299.99,4.6,15000,Electronics,2026-05-17T17:14:40.491306+00:00,seed (real product catalog - replace with Keepa API),301.5884747018089,17.1,Coupon
B08N5M7S6K,Ring Video Doorbell 4,Ring,99.99,199.99,4.6,89000,Electronics,2026-05-17T17:14:40.491306+00:00,seed (real product catalog - replace with Keepa API),116.2226793729857,14.0,Coupon
B0C7RK7Z9D,Philips Hue Bridge + Bulbs Starter,Philips,199.99,249.99,4.5,21000,Electronics,2026-05-17T17:14:40.491306+00:00,seed (real product catalog - replace with Keepa API),263.8479206233342,24.2,Lightning Deal
